Campus ID,Campus Name,District,County,Grade Range,Charter?,Magnet?,Enrollment,% African American,% Asian,% Hispanic,% White,% Eco Dis,Mobility Rate,% Meets Grade Level - English I + II,% Meets Grade Level - Algebra I,Growth Score,SAT/ACT Participation Rate,Average SAT Total Score,Average ACT Total Score,AP/IB Participation Rate,AP/IB Pass Rate,Graduation Rate,Student Achievement Grade,Campus Performance Grade,Growth Grade,College Readiness Grade,C@R Grade,State Rank
57905038,JUDGE BAREFOOT SANDERS LAW MAGNET,DALLAS ISD,DALLAS COUNTY,9-12,N,YES,381,20.2,1.8,70.3,5.5,80.1,1.8,93.4,68.2,55.3,100.0,1473,20.6,96.3,48.9,100%,A,A,A,A,A+,37
101902008,VICTORY EARLY COLLEGE H S,ALDINE ISD,HARRIS COUNTY,9-12,N,NO,430,12.8,3.0,82.1,1.4,84.0,3.6,91.8,78.3,50.4,100.0,1499,22.2,40.0,20.9,98%,A,A,C,A,A+,38
101912323,CHALLENGE EARLY COLLEGE H S,HOUSTON ISD,HARRIS COUNTY,9-12,N,YES,470,12.6,3.2,74.5,8.5,71.3,2.6,94.1,70.4,53.6,100.0,1517,23.1,83.9,33.5,95%,A,A,B,A,A+,39
101911016,IMPACT EARLY COLLEGE H S,GOOSE CREEK CISD,HARRIS COUNTY,9-12,N,NO,380,11.3,1.3,74.2,11.3,61.3,4.3,88.1,81.1,58.8,100.0,1429,20.6,0.0,0.0,97%,A,A,A,B,A+,40
57904003,CEDAR HILL COLLEGIATE H S,CEDAR HILL ISD,DALLAS COUNTY,9-12,N,NO,406,58.9,3.9,28.3,6.9,45.3,1.0,89.1,79.4,62.3,100.0,1503,22.3,0.0,0.0,99%,A,A,A,B,A+,41
71905017,VALLE VERDE EARLY COLLEGE H S,YSLETA ISD,EL PASO COUNTY,9-12,N,NO,407,0.7,0.7,93.1,5.4,67.8,2.5,82.4,79.6,54.6,100.0,1432,21.5,100.0,19.0,98%,A,A,B,A,A+,42
84910010,CLEAR HORIZONS EARLY COLLEGE H S,CLEAR CREEK ISD,HARRIS COUNTY,9-12,N,NO,451,7.5,29.0,25.5,32.2,29.9,7.8,90.4,80.3,56.5,100.0,1627,23.1,28.4,66.7,93%,A,A,A,A,A+,43
108912010,THELMA ROSA SALINAS STEM EARLY COLLEGE H S,LA JOYA ISD,HIDALGO COUNTY,9-12,N,NO,407,0.0,0.0,100.0,0.0,97.1,5.8,67.5,97.7,63.2,100.0,1358,18.8,0.0,0.0,94%,A,A,A,C,A+,44
101862002,HARMONY SCHOOL OF INNOVATION-SUGAR LAND,HARMONY SCHOOL OF SCIENCE - HOUSTON,FORT BEND COUNTY,6-12,Y,NO,924,20.2,43.4,20.2,15.2,44.2,4.9,79.9,84.1,54.8,100.0,1610,25.6,52.9,63.0,94%,A,A,B,A,A+,45
101912308,NORTH HOUSTON EARLY COLLEGE H S,HOUSTON ISD,HARRIS COUNTY,9-12,N,YES,457,9.2,1.3,89.1,0.4,92.6,0.9,87.7,77.1,50.4,100.0,1324,19.4,88.2,25.7,94%,A,A,C,A,A+,46
108807003,IDEA FRONTIER COLLEGE PREPARATORY,IDEA PUBLIC SCHOOLS,CAMERON COUNTY,6-12,Y,NA,780,0.0,0.6,97.1,2.1,89.5,4.2,77.3,77.9,58.0,100.0,1362,21.3,95.0,62.5,93%,A,A,A,A,A+,47
108906011,ACHIEVE EARLY COLLEGE H S,MCALLEN ISD,HIDALGO COUNTY,9-12,N,NO,436,0.0,1.1,97.2,1.6,74.1,4.6,84.0,72.2,58.1,100.0,1373,19.2,93.2,40.1,96%,A,A,A,A,A+,48
17901001,BORDEN COUNTY SCHOOL,BORDEN COUNTY ISD,BORDEN COUNTY,KG-12,N,NO,254,0.8,0.0,18.5,77.6,23.6,6.3,82.2,91.7,58.2,100.0,1465,21.5,0.0,0.0,100%,A,A,A,B,A+,49
57905085,KATHLYN JOY GILLIAM COLLEGIATE ACADEMY,DALLAS ISD,DALLAS COUNTY,9-12,N,NO,364,49.7,0.0,49.2,0.5,83.5,5.4,75.6,78.8,63.9,100.0,1288,17.8,56.9,37.4,96%,A,A,A,A,A+,50
110907001,SUNDOWN H S,SUNDOWN ISD,HOCKLEY COUNTY,9-12,N,NA,188,0.0,0.0,46.3,52.1,25.0,6.9,81.9,88.7,55.3,84.8,1484,23.9,2.9,100.0,90%,A,A,A,A,A+,51
108807002,IDEA QUEST COLLEGE PREPARATORY,IDEA PUBLIC SCHOOLS,HIDALGO COUNTY,6-12,Y,NA,759,0.7,3.4,90.9,4.7,83.9,6.0,74.5,80.0,57.5,94.0,0,20.3,95.5,46.2,93%,A,A,A,A,A+,52
43905005,WAKELAND H S,FRISCO ISD,COLLIN COUNTY,9-12,N,NO,2132,6.1,7.2,13.0,71.0,6.3,5.0,87.3,86.6,59.9,88.5,1618,24.6,43.6,74.2,92%,A,A,A,A,A+,53
101914010,SEVEN LAKES H S,KATY ISD,FORT BEND COUNTY,9-12,N,NO,3385,6.8,25.5,23.5,41.0,7.4,4.5,87.4,83.2,59.5,93.5,1724,26.0,48.9,92.3,90%,A,A,A,A,A+,54
220810001,WESTLAKE ACADEMY,WESTLAKE ACADEMY CHARTER SCHOOL,TARRANT COUNTY,KG-12,Y,NO,843,4.5,12.0,12.6,64.8,0.0,4.6,94.4,77.3,57.0,100.0,1696,26.3,77.9,88.7,97%,A,A,A,A,A+,55
57903010,EARLY COLLEGE H S,CARROLLTON-FARMERS BRANCH ISD,DALLAS COUNTY,9-12,N,NO,311,4.2,6.4,83.3,5.1,82.3,16.7,75.7,74.4,62.5,100.0,1446,19.8,23.8,30.0,99%,A,A,A,A,A+,56
232901001,KNIPPA SCHOOL,KNIPPA ISD,UVALDE COUNTY,PK-12,N,NO,446,0.2,2.0,56.5,40.8,30.5,13.6,81.3,88.0,51.2,85.0,1567,21.4,9.8,50.0,94%,A,A,C,A,A,57
