Campus ID,Campus Name,District,County,Grade Range,Charter?,Magnet?,Enrollment,% African American,% Asian,% Hispanic,% White,% Eco Dis,Mobility Rate,% Meets Grade Level - Reading,% Meets Grade Level - Math,Growth Score,Student Achievement Grade,Campus Performance Grade,Growth Grade,C@R Grade,State Rank
246913108,PAULINE NAUMANN EL,LEANDER ISD,WILLIAMSON COUNTY,EE-5,N,NO,472,2.8,4.2,23.1,65.3,20.8,9.0,63.7,56.6,54.9,B,B,B,B,912
57905136,L O DONALD EL,DALLAS ISD,DALLAS COUNTY,PK-5,N,NO,428,1.6,0.0,96.7,1.4,91.6,10.8,42.6,56.2,58.6,C,B,A,B,913
31901121,PEREZ EL,BROWNSVILLE ISD,CAMERON COUNTY,EE-5,N,NO,490,0.0,0.0,99.4,0.4,97.8,17.5,46.0,55.5,54.1,B,A,B,B,914
101912221,POE EL,HOUSTON ISD,HARRIS COUNTY,EE-5,N,YES,844,12.8,7.9,34.0,39.7,28.6,9.7,62.8,57.8,49.3,B,B,D,B,915
57916125,PRESTONWOOD EL,RICHARDSON ISD,DALLAS COUNTY,EE-6,N,NO,464,9.1,2.6,39.4,45.5,44.2,9.1,55.1,57.8,52.7,B,B,B,B,916
57910101,STEPHEN F AUSTIN EL,GRAND PRAIRIE ISD,DALLAS COUNTY,EE-5,N,NO,500,13.2,0.6,73.4,11.4,90.2,23.8,47.5,53.1,56.0,B,A,A,B,917
3902102,W H BONNER EL,HUDSON ISD,ANGELINA COUNTY,3-5,N,NO,651,6.3,0.9,26.6,63.7,53.6,14.3,51.0,59.9,51.1,B,A,C,B,918
43914042,AB HARRISON INT,WYLIE ISD,COLLIN COUNTY,5-6,N,NO,682,12.5,4.7,18.3,60.1,23.8,7.1,55.9,63.9,53.4,B,B,B,B,919
71907103,JOSE H DAMIAN EL,CANUTILLO ISD,EL PASO COUNTY,PK-5,N,NO,504,0.4,1.2,93.8,4.0,61.9,11.2,48.4,58.7,53.1,B,A,B,B,920
108904103,HARGILL EL,EDINBURG CISD,HIDALGO COUNTY,EE-5,N,NO,394,0.0,0.0,98.7,1.3,94.9,22.7,40.3,59.7,56.3,B,A,A,B,921
161807004,HARMONY SCHOOL OF INNOVATION - CARROLLTON,HARMONY SCIENCE ACAD (WACO),DENTON COUNTY,KG-5,Y,NA,589,15.1,35.5,30.1,16.5,41.9,14.4,57.6,55.8,52.7,B,B,B,B,922
129902108,NELL HILL RHEA EL,FORNEY ISD,KAUFMAN COUNTY,EE-6,N,NO,691,9.3,1.2,35.9,50.8,27.5,7.0,59.4,58.7,53.6,B,B,B,B,923
57905203,DAN D ROGERS EL,DALLAS ISD,DALLAS COUNTY,EE-5,N,NO,514,14.8,4.7,62.8,16.0,77.6,24.1,49.2,54.0,53.7,B,A,B,B,924
15835001,GREAT HEARTS MONTE VISTA,GREAT HEARTS TEXAS,BEXAR COUNTY,KG-5,Y,NO,433,1.8,5.1,44.6,44.6,12.9,6.5,59.0,60.6,61.2,B,B,A,B,925
101915109,BRILL EL,KLEIN ISD,HARRIS COUNTY,EE-5,N,NO,741,9.0,12.8,37.7,36.6,33.5,12.8,51.5,62.0,56.7,B,B,A,B,926
61901121,NELSON EL,DENTON ISD,DENTON COUNTY,EE-5,N,NO,632,12.0,4.1,22.8,56.6,28.5,8.9,61.1,56.9,52.8,B,B,B,B,927
70908103,IRVIN EL,MIDLOTHIAN ISD,ELLIS COUNTY,KG-5,N,NO,342,2.3,1.5,23.1,67.8,36.0,9.7,56.6,59.1,52.0,B,B,C,B,928
108904109,GUERRA EL,EDINBURG CISD,HIDALGO COUNTY,EE-5,N,NO,570,0.0,0.0,98.8,1.2,92.3,16.9,43.3,61.2,49.4,B,A,D,B,929
108904131,MACARIA DELA GARZA GORENA EL,EDINBURG CISD,HIDALGO COUNTY,EE-5,N,NO,561,0.2,0.5,95.7,2.0,88.1,16.7,44.9,57.8,52.5,B,A,B,B,930
101914109,NOTTINGHAM COUNTRY EL,KATY ISD,HARRIS COUNTY,KG-5,N,NO,700,8.7,10.7,22.3,54.3,22.1,10.3,61.4,58.4,54.0,B,B,B,B,931
