Campus ID,Campus Name,District,County,Grade Range,Charter?,Magnet?,Enrollment,% African American,% Asian,% Hispanic,% White,% Eco Dis,Mobility Rate,% Meets Grade Level - Reading,% Meets Grade Level - Math,Growth Score,Student Achievement Grade,Campus Performance Grade,Growth Grade,C@R Grade,State Rank
101907056,SMITH MIDDLE,CYPRESS-FAIRBANKS ISD,HARRIS COUNTY,6-8,N,NO,1253,12.5,15.4,21.9,46.0,10.1,3.9,75.0,80.1,54.5,A,A,B,A+,65
43901043,WALTER & LOIS CURTIS MIDDLE,ALLEN ISD,COLLIN COUNTY,7-8,N,NO,1256,11.6,17.9,13.0,52.4,12.0,5.2,78.3,75.6,53.6,A,A,B,A+,66
101912081,SHARPSTOWN INTERNATIONAL SCHOOL,HOUSTON ISD,HARRIS COUNTY,6-12,N,YES,1061,8.2,7.4,81.7,2.5,93.0,3.6,52.5,73.2,56.4,A,A,A,A+,67
227901028,RICHARDS SCH FOR YOUNG WOMEN LEADERS,AUSTIN ISD,TRAVIS COUNTY,6-12,N,NO,785,6.8,2.5,65.1,21.4,55.5,1.1,73.3,63.4,51.0,A,A,C,A+,68
108807002,IDEA QUEST COLLEGE PREPARATORY,IDEA PUBLIC SCHOOLS,HIDALGO COUNTY,6-12,Y,NA,759,0.7,3.4,90.9,4.7,83.9,6.0,62.1,63.0,57.5,A,A,A,A+,69
226906041,WALL MIDDLE,WALL ISD,TOM GREEN COUNTY,6-8,N,NO,272,0.7,0.7,21.0,75.7,11.8,5.9,74.8,77.4,54.0,A,A,B,A+,70
229901001,COLMESNEIL JH/HS,COLMESNEIL ISD,TYLER COUNTY,7-12,N,NO,203,3.0,0.5,3.9,91.1,54.7,20.2,67.2,60.4,63.2,A,A,A,A+,71
57922043,COPPELL MIDDLE WEST,COPPELL ISD,DALLAS COUNTY,6-8,N,NO,1109,4.1,47.9,16.1,29.2,10.6,6.8,70.8,79.5,57.7,A,A,A,A+,72
101912344,BRIARMEADOW CHARTER,HOUSTON ISD,HARRIS COUNTY,EE-8,N,NO,609,9.9,20.7,38.1,27.8,63.4,4.7,62.9,67.2,55.4,A,A,A,A+,73
61902053,MCKAMY MIDDLE,LEWISVILLE ISD,DENTON COUNTY,6-8,N,NO,1015,1.3,24.8,8.6,62.5,2.1,2.2,81.1,75.3,56.2,A,A,A,A+,74
227909042,WEST RIDGE MIDDLE,EANES ISD,TRAVIS COUNTY,6-8,N,NO,932,0.1,17.0,11.3,67.0,2.5,2.7,82.2,77.6,50.7,A,A,C,A+,75
170902053,MCCULLOUGH J H,CONROE ISD,MONTGOMERY COUNTY,7-8,N,NO,2232,2.9,7.6,22.6,63.4,6.4,6.0,78.4,78.7,50.4,A,A,C,A+,76
227901062,GORZYCKI MIDDLE,AUSTIN ISD,TRAVIS COUNTY,6-8,N,NO,1279,1.7,7.3,22.2,64.1,4.5,4.1,78.8,79.1,50.9,A,A,C,A,77
101912467,BAYLOR COLLEGE OF MEDICINE ACADEMY AT RYAN,HOUSTON ISD,HARRIS COUNTY,6-8,N,YES,763,38.9,8.8,44.4,6.4,60.8,4.0,65.1,64.7,56.0,A,A,A,A,78
108911042,SHARYLAND NORTH J H,SHARYLAND ISD,HIDALGO COUNTY,7-8,N,NO,858,0.3,0.9,91.8,6.4,62.8,8.3,56.2,73.9,53.7,A,A,B,A,79
101920042,MEMORIAL MIDDLE,SPRING BRANCH ISD,HARRIS COUNTY,6-8,N,NO,1380,1.2,21.1,11.7,63.5,4.6,3.8,72.8,82.4,53.6,A,A,B,A,80
15910057,LOPEZ MIDDLE,NORTH EAST ISD,BEXAR COUNTY,6-8,N,NO,1179,3.1,7.5,40.8,43.3,8.4,4.5,73.9,77.7,54.8,A,A,B,A,81
43910054,MURPHY MIDDLE,PLANO ISD,COLLIN COUNTY,6-8,N,NO,1234,8.8,29.4,11.2,46.4,8.5,3.9,74.4,77.4,54.4,A,A,B,A,82
177905001,HIGHLAND SCHOOL,HIGHLAND ISD,NOLAN COUNTY,PK-12,N,NO,226,0.0,0.4,19.9,79.6,38.5,8.0,64.4,75.0,49.7,A,A,D,A,83
227909041,HILL COUNTRY MIDDLE,EANES ISD,TRAVIS COUNTY,6-8,N,NO,1056,1.0,9.6,13.5,71.0,2.3,3.7,80.3,77.4,51.0,A,A,C,A,84
87901001,GARDEN CITY H S,GLASSCOCK COUNTY ISD,GLASSCOCK COUNTY,6-12,N,NO,151,0.0,0.7,50.3,49.0,36.4,6.0,65.6,68.9,57.7,A,A,A,A,85
57808102,UNIVERSAL ACADEMY - COPPELL,UNIVERSAL ACADEMY,DALLAS COUNTY,PK-12,Y,NO,1347,9.4,84.6,2.7,1.6,0.9,13.5,74.7,78.7,58.2,A,A,A,A,86
101907054,SPILLANE MIDDLE,CYPRESS-FAIRBANKS ISD,HARRIS COUNTY,6-8,N,NO,1647,9.7,13.6,22.7,50.7,15.8,5.3,69.8,76.5,54.6,A,A,B,A,87
84910049,WESTBROOK INT,CLEAR CREEK ISD,GALVESTON COUNTY,6-8,N,YES,1135,8.6,28.2,30.7,28.6,25.4,5.2,69.9,71.2,54.7,A,A,B,A,88
43905051,HUNT MIDDLE,FRISCO ISD,COLLIN COUNTY,6-8,N,NO,828,9.3,12.2,18.6,55.9,14.3,8.7,71.0,75.3,55.5,A,A,A,A,89
