Campus ID,Campus Name,District,County,Grade Range,Charter?,Magnet?,Enrollment,% African American,% Asian,% Hispanic,% White,% Eco Dis,Mobility Rate,% Meets Grade Level - Reading,% Meets Grade Level - Math,Growth Score,Student Achievement Grade,Campus Performance Grade,Growth Grade,C@R Grade,State Rank,Regional Rank
227901157,WINN EL,AUSTIN ISD,TRAVIS COUNTY,EE-6,N,NO,241,20.7,0.4,75.1,2.5,85.1,17.9,24.2,33.0,42.4,F,F,F,D-,3931,253
105902103,DEZAVALA EL,SAN MARCOS CISD,HAYS COUNTY,KG-5,N,NO,615,1.6,0.2,83.3,14.5,79.3,16.5,28.4,28.4,43.8,F,F,F,D-,3936,254
227910107,HILLCREST EL,DEL VALLE ISD,TRAVIS COUNTY,EE-5,N,NO,555,3.1,0.0,93.3,3.1,96.2,19.1,23.6,29.6,47.1,F,F,F,D-,3937,255
105906114,CAMINO REAL EL,HAYS CISD,HAYS COUNTY,EE-5,N,NO,776,1.3,0.3,92.0,6.2,85.6,13.0,25.1,29.3,45.6,F,F,F,D-,3955,256
227901108,BROOKE EL,AUSTIN ISD,TRAVIS COUNTY,EE-5,N,NO,272,9.9,0.7,85.3,4.0,91.9,29.3,28.3,24.5,47.1,F,F,F,D-,3958,257
246913109,BAGDAD EL,LEANDER ISD,WILLIAMSON COUNTY,EE-5,N,NO,619,3.7,1.1,52.0,38.1,60.1,13.1,35.6,23.0,46.4,F,F,F,D-,3961,258
11901104,BASTROP INT,BASTROP ISD,BASTROP COUNTY,5-6,N,NO,729,6.7,0.7,54.6,34.7,60.2,13.1,25.9,34.5,43.5,D,F,F,D-,3965,259
227907105,BLAKE MANOR EL,MANOR ISD,TRAVIS COUNTY,EE-5,N,NO,671,10.0,0.1,76.6,10.7,85.7,15.5,26.2,28.9,43.5,F,F,F,D-,3986,260
14803004,CEDAR PARK CHARTER ACADEMY,PRIORITY CHARTER SCHOOLS,WILLIAMSON COUNTY,PK-12,Y,NO,256,5.5,5.1,20.3,63.3,23.0,27.8,45.0,22.9,49.0,D,F,D,F,4024,261
246904104,PAT COOPER EL,GEORGETOWN ISD,WILLIAMSON COUNTY,EE-5,N,NO,526,4.6,0.2,47.0,43.7,59.7,17.5,35.3,25.8,40.8,D,F,F,F,4026,262
11905101,MCDADE EL,MCDADE ISD,BASTROP COUNTY,EE-5,N,NO,265,1.5,0.0,44.5,52.5,61.5,13.6,30.3,28.6,41.6,F,F,F,F,4065,263
227910108,BATY EL,DEL VALLE ISD,TRAVIS COUNTY,EE-5,N,NO,706,13.9,0.6,81.4,2.3,96.9,30.7,22.4,25.4,48.4,F,F,D,F,4109,264
11902102,ELGIN EL,ELGIN ISD,BASTROP COUNTY,EE-5,N,NO,818,9.4,0.2,72.4,15.3,83.1,18.6,29.4,21.4,44.4,F,F,F,F,4126,265
105906112,SCIENCE HALL EL,HAYS CISD,HAYS COUNTY,PK-5,N,NO,742,2.4,0.9,84.6,11.1,72.4,14.5,27.7,24.1,44.7,F,F,F,F,4141,266
227901174,RODRIGUEZ EL,AUSTIN ISD,TRAVIS COUNTY,EE-5,N,NO,591,8.1,0.3,90.7,0.5,95.3,18.8,18.8,30.8,43.8,F,F,F,F,4154,267
