,gsId,name,city,state,address,lat,lon,type,gsRating,Zipcode
141,549,Houston Elementary School,Austin,TX,"5409 Ponciana Drive, 
Austin, TX  78744",30.196468,-97.75507,public,,78744
142,9471,Hudson Bend Middle School,Austin,TX,"3322 Ranch Road 620 South, 
Austin, TX  78738",30.327839,-97.96536,public,3.0,78738
143,8367,Huntington-Surrey High School,Austin,TX,"5206 Balcones Drive, 
Austin, TX  78756",30.318382,-97.7376,private,9.0,78756
144,8339,Hyde Park Baptist Elementary School,Austin,TX,"3901 Speedway, 
Austin, TX  78751",30.302164,-97.731804,private,,78751
145,12476,Hyde Park Baptist High School,Austin,TX,"11400 North Mopac, 
Austin, TX  78759",30.40086,-97.730064,private,,78759
146,8352,Hyde Park Baptist School,Austin,TX,"3901 Speedway, 
Austin, TX  78751",30.302217,-97.73187,private,,78751
147,24649,IDEA Allan College Preparatory,Austin,TX,"1701 Vargas Road, 
Austin, TX  78741",30.226158,-97.699524,charter,,78741
148,24980,IDEA Rundberg Academy,Austin,TX,"9504 North Interstate 35 Frontage Road, 
Austin, TX  78753",30.360958,-97.687805,charter,7.0,78753
149,24981,IDEA Rundberg College Preparatory,Austin,TX,"9504 North Interstate 35 Frontage Road, 
Austin, TX  78753",30.360958,-97.687805,charter,6.0,78753
150,24651,Idea Allan Academy,Austin,TX,"1701 Vargas Road, 
Austin, TX  78741",30.226158,-97.699524,charter,6.0,78741
151,25437,Idea Bluff Springs Academy,Austin,TX,"1700 East Slaughter Lane, 
Austin, TX  78744",30.153843,-97.769135,charter,6.0,78744
152,25331,Idea Bluff Springs College Preparatory,Austin,TX,"1700 East Slaughter Lane, 
Austin, TX  78744",30.153843,-97.769135,charter,,78744
153,10730,International High School,Austin,TX,"1012 Arthur Stiles Road, 
Austin, TX  78721",30.257113,-97.68206,public,6.0,78721
154,24382,International Montessori House,Austin,TX,"7020 Village Center Drive, 
Austin, TX  78731",30.352783,-97.75659,private,,78731
155,20854,International School of Texas,Austin,TX,"4402 Hudson Bend Road, 
Austin, TX  78734",30.403622,-97.92939,private,,78734
156,20667,Jackie's Performing Arts & Private Education,Austin,TX,"11530 Manchaca Road, 
Austin, TX  78748",30.152407,-97.83523,private,,78748
157,9137,Joe Lee Johnson Elementary School,Austin,TX,"2800 Sauls Drive, 
Austin, TX  78728",30.45655,-97.68175,public,,78728
158,5420,John B Connally High School,Austin,TX,"13212 North Lamar Boulevard, 
Austin, TX  78753",30.41821,-97.676346,public,5.0,78753
159,9117,John P Ojeda J High School,Austin,TX,"4900 McKinney Falls Parkway, 
Austin, TX  78744",30.190788,-97.71197,public,4.0,78744
160,5868,Jollyville Elementary School,Austin,TX,"6720 Corpus Christi Drive, 
Austin, TX  78729",30.444317,-97.750755,public,2.0,78729
161,594,Jordan Elementary School,Austin,TX,"6711 Johnny Morris Road, 
Austin, TX  78724",30.301088,-97.646774,public,6.0,78724
162,20411,Joseph Gilbert Elementary School,Austin,TX,"5412 Gilbert Road, 
Austin, TX  78724",30.258514,-97.59251,public,5.0,78724
163,552,Joslin Elementary School,Austin,TX,"4500 Manchaca Road, 
Austin, TX  78745",30.228037,-97.79054,public,4.0,78745
164,20118,K12 International Academy,Austin,TX,"1701 N. Congress Avenue, 
Austin, TX  78701",30.278719,-97.73881,private,4.0,78701
165,25309,KIPP Austin Brave,Austin,TX,"8509 Farm to Market 969, 
Austin, TX  78724",30.27235,-97.638405,charter,,78724
166,24677,KIPP Austin Leadership Elementary School,Austin,TX,"5107 South Interstate 35 Frontage Road, 
Austin, TX  78744",30.204409,-97.75847,charter,,78744
167,24676,KIPP Austin Obras,Austin,TX,"5107 South Interstate 35 Frontage Road, 
Austin, TX  78744",30.204409,-97.75847,charter,3.0,78744
168,10048,Kamico Academy,Austin,TX,"4413 Spicewood Springs Rd, 
Austin, TX  78759",30.3727,-97.7586,private,3.0,78759
169,5874,Kathy Caraway Elementary School,Austin,TX,"11104 Oak View Drive, 
Austin, TX  78759",30.419579,-97.7696,public,,78759
170,605,Kealing Middle School,Austin,TX,"1607 Pennsylvania Avenue, 
Austin, TX  78702",30.270937,-97.72178,public,8.0,78702
171,596,Kiker Elementary School,Austin,TX,"5913 La Crosse Avenue, 
Austin, TX  78739",30.191557,-97.881256,public,8.0,78739
172,19925,Kipp Austin Academy Of Arts & Lett,Austin,TX,"8509 Farm to Market 969, 
Austin, TX  78724",30.27235,-97.638405,charter,10.0,78724
173,20398,Kipp Austin Beacon Prep,Austin,TX,"8509 Farm to Market 969, 
Austin, TX  78724",30.27235,-97.638405,charter,7.0,78724
174,10705,Kipp Austin College Prep,Austin,TX,"9509 Farm to Market 969, 
Austin, TX  78724",30.270355,-97.63019,charter,4.0,78724
175,12099,Kipp Austin Collegiate,Austin,TX,"8509 Farm to Market 969, 
Austin, TX  78724",30.27235,-97.638405,charter,4.0,78724
176,20400,Kipp Austin Comunidad,Austin,TX,"8509 Farm to Market 969, 
Austin, TX  78724",30.27235,-97.638405,charter,7.0,78724
177,20401,Kipp Austin Connections Elementary School,Austin,TX,"8509 Farm to Market 969, 
Austin, TX  78724",30.27235,-97.638405,charter,4.0,78724
178,20399,Kipp Austin Vista Middle Schools,Austin,TX,"8509 Farm to Market 969, 
Austin, TX  78724",30.27235,-97.638405,charter,3.0,78724
179,7627,Kirby Hall School,Austin,TX,"306 W 29th St, 
Austin, TX  78705",30.294388,-97.74036,private,4.0,78705
