,Name,Zip code,latitude,longitude
61,W XYZ Bar,78717,30.47561,-97.80106
62,Yellow Jacket Social Club,78702,30.26159,-97.72456
63,Apt 115,78702,30.2616,-97.71982
64,Texas Street Grill,78734,30.39639,-97.93134
65,The Brixton,78702,30.2635168,-97.7275935
66,Donn's Depot,78703,30.27413,-97.76333
67,School House Pub,78722,30.284213,-97.718819
68,Rusty Cannon Pub,78745,30.20985,-97.7820799
69,Buck Wild,78701,30.2674616425138,-97.7400218527087
70,The Townsend,78701,30.26978,-97.74263
71,Boiler Nine,78701,30.266862,-97.752903
72,The Local Outpost Saloon,78729,30.445718,-97.778274
73,Giddy Ups,78748,30.1438891,-97.8336148981476
74,The Mill Bar & Grill,78729,30.45227,-97.78107
75,Seven Grand,78701,30.26766,-97.73864
76,Gibson Bar,78704,30.25502,-97.76177
77,The Side Bar,78701,30.26752,-97.73643
78,Buddy's Place,78757,30.36906,-97.72721
79,Rustic Tap,78701,30.269679,-97.749197
80,The Cloak Room,78701,30.2756075728875,-97.7420997619629
81,G Bar and Bistro,78744,30.2125737,-97.7053511
82,The White Horse,78702,30.262545,-97.727024
83,Shiner's Saloon,78701,30.267053604126,-97.743537902832
84,Waller Creek Pub House,78701,30.2664203643799,-97.7357711791992
85,C-Boys Heart & Soul,78704,30.243746,-97.752289
86,St. Roch's Bar,78702,30.25862,-97.7146099
87,Marker 10,78704,30.2609943392122,-97.7468085110451
88,Growler Room,78757,30.34439,-97.73853
89,Casa de Montecristo,78746,30.33636,-97.8051799
90,Little Woodrow's Tech Ridge,78753,30.40014,-97.65851
91,Haymaker,78722,30.28479,-97.71757
92,The Jackalope South Shore,78741,30.2404842376709,-97.7261352539062
93,EastSide Tavern,78702,30.2589905157159,-97.7287379999974
94,The Eleanor,78701,30.2677,-97.74627
95,Dozen Street,78702,30.2738603,-97.7203803
96,Péché,78701,30.266988,-97.745231
97,Twin Creeks Hall,78726,30.44607,-97.8613699
98,Prohibition Creamery,78702,30.26422,-97.72763
99,Moonfire Lounge,78701,30.26611,-97.74516
100,The Golden Goose,78704,30.2492562575998,-97.7689180730169
101,Whip In,78704,30.2379359562403,-97.7394390106201
102,CU29 Cocktail Bar,78701,30.269103,-97.741214
103,Bungalow,78701,30.2604572574835,-97.738516330719
104,Irene's,78701,30.269838,-97.751213
105,SquareRüt Kava Bar,78756,30.31866,-97.73144
106,Dirty Bill's,78701,30.2696075439453,-97.749397277832
107,Odd Duck,78704,30.25452,-97.762064
108,Contigo,78723,30.28804,-97.70335
109,Casino El Camino,78701,30.26636,-97.7377
110,Speakeasy,78701,30.266847,-97.743725
111,Upstairs at Caroline,78701,30.26873,-97.74217
112,The Aristocrat Lounge,78757,30.3402309,-97.7385864
113,Pour House Pub,78757,30.34264,-97.738
114,La Perla,78702,30.2633686065674,-97.7266006469727
115,Zilker Brewing Company and Taproom,78702,30.262096,-97.72454
116,Banger's Sausage House & Beer Garden,78701,30.2590157575754,-97.7385085889549
117,Pour House Pints And Pies,78759,30.4228443049482,-97.7553981431361
118,Weather Up,78702,30.2573650267811,-97.7249485249197
119,Cosmic Coffee + Beer Garden,78704,30.2274,-97.76272
120,Kicked Up Grub,78704,30.2407,-97.78598
121,Moontower Saloon,78748,30.1693172454834,-97.8266754150391
122,Soco Bar & Bites,78704,30.25849,-97.74729
123,Hi Hat Public House,78702,30.26023,-97.71893
124,L'estelle House,78701,30.2599341625746,-97.7384599763706
125,St Elmo Brewing Company,78745,30.2174492910035,-97.7610477949677
126,Pitchfork Pretty,78702,30.25343,-97.71351
127,Turntable Eatery,78751,30.31281,-97.7150599
128,Buckshot,78701,30.26714,-97.73833
129,Black Star Co-op Pub & Brewery,78752,30.3381716531677,-97.7188450098038
130,Roscoe's Bar,78705,30.2886981964111,-97.748176574707
131,Love Goat,78705,30.29283,-97.7417399
132,Forthright,78701,30.2623732844951,-97.743445
133,Barley Swine,78757,30.3412737661652,-97.7383886364151
134,Beachside Billys,78641,30.440785,-97.914837
135,Mister Tramps Sports Pub and Café,78758,30.3614513838757,-97.7162416375759
136,Javelina,78701,30.258020401001,-97.7388458251953
137,Gourmands Neighborhood Pub,78702,30.26265,-97.71539
138,The Alibi,78701,30.26083,-97.73825
139,Ego's,78704,30.25628,-97.74761
140,Two Bucks,78701,30.2664604187012,-97.7381134033203
141,Buford's Backyard Beer Garden,78701,30.2702396,-97.7497159
142,Billy's on Burnet,78756,30.3220291137695,-97.7397613525391
143,Yard House,78758,30.4053,-97.72308
144,Spider House Ballroom,78705,30.2953743,-97.7420442
145,Vino Vino,78751,30.3069966,-97.7352997
146,The Drag Bar,78705,30.28708,-97.74186
147,Rosewood,78702,30.26835,-97.72626
148,Mohawk,78701,30.2701302,-97.7359046
149,The Dogwood,78701,30.26988,-97.75028
150,Better Half Coffee & Cocktails,78703,30.27137,-97.75839
151,The Vortex,78722,30.2844663602444,-97.7175722159386
152,Lustre Pearl,78701,30.2606455716823,-97.7382776743979
153,Boulevard Grill and Sports Bar,78731,30.355045,-97.755592
154,Lenoir,78704,30.24686,-97.75586
155,BD Riley's Irish Pub at Mueller,78723,30.2982552810187,-97.7049514541841
156,Boomerz,78735,30.2363456598715,-97.8561775190617
157,Perla's,78704,30.2499652289007,-97.7499698671015
158,Guild,78756,30.3060027879118,-97.7431749925017
159,Ernie's Dockside Lake Travis,78734,30.43169,-97.94077
160,San Jac Saloon,78701,30.2675819396973,-97.7401580810547
161,Texas Club Bar & Grill,78744,30.2119300039385,-97.7296185185185
162,Cactus Cafe,78713,30.2861233893208,-97.7410697937012
163,Wright Bros Brew & Brew,78702,30.2642705386769,-97.7330322191119
164,Central Standard,78704,30.2474,-97.75006
165,Kick Butt Café,78752,30.3221788205653,-97.7138607718277
166,Geraldine's,78701,30.26029,-97.73927
167,Mattie's,78704,30.244963,-97.762289
168,Unbarlievable,78701,30.25891,-97.73896
169,Las Palomas Restaurant & Bar,78746,30.271881,-97.800071
170,Sahara Lounge,78721,30.2795716,-97.68159
171,La Holly,78702,30.2591865899542,-97.7144455556234
172,Texas Sake,78751,30.32317,-97.72758
173,Cover 3,78703,30.2761773651651,-97.7656084588242
174,Thirsty Turtle,78753,30.42419,-97.66973
175,Rules & Regs,78701,30.26198,-97.73862
176,The Brass Tap,78758,30.3955359,-97.7270049
177,Stephen F's Bar & Terrace,78701,30.2691040039062,-97.7419586181641
178,Barrel O' Fun,78723,30.2981137997144,-97.7049248933204
179,Scoot Inn,78702,30.2621159638853,-97.7294136738124
180,'Bout Time II,78752,30.32777,-97.70421
181,Cain and Abel's,78705,30.28768,-97.74448
182,Black Sheep Lodge,78704,30.24837,-97.77118
183,Moloko,78702,30.2738,-97.7201
184,Spokesman,78745,30.2164715,-97.7618791
185,Toss Pizzeria & Pub,78704,30.2363363,-97.762862
186,Marshall's Tavern,78729,30.443876,-97.775756
187,Tellers,78701,30.26762,-97.73889
188,Russian House,78701,30.26603,-97.74023
189,Swift's Attic,78701,30.26563,-97.74337
190,Oasis Texas Brewing Company,78732,30.40615,-97.87492
191,Spider House Cafe & Ballroom,78705,30.295505,-97.741761
192,Auguste & Marcel,78704,30.24653,-97.75109
193,El Chipirón,78704,30.2432095786234,-97.7811677724685
