,barName,Zip code,barRating,barlatitude,barlongitude
118,Culinary Dropout,78758,4.0,30.403653,-97.721503
119,Draft Shack Oyster Bar,78758,4.0,30.4062692,-97.7202672
120,St. Genevieve,78758,3.5,30.4013526371326,-97.7228714453827
121,Maki Toki,78758,3.0,30.3931,-97.706923
122,Paris Hookah Lounge,78758,4.0,30.3794915,-97.7126344
123,Second Bar + Kitchen,78758,4.0,30.4023750200579,-97.721345834434
124,The Canary Roost,78758,3.0,30.4006140494032,-97.7038837734032
125,Topgolf,78758,4.0,30.3982988883254,-97.7175606715332
126,Doc B's Fresh Kitchen,78758,4.5,30.402758,-97.719745
127,Bazille,78758,4.5,30.4022442392014,-97.7204028617381
128,Kung Fu Saloon,78758,2.5,30.400905,-97.722687
129,Chuy's,78753,4.0,30.3751687,-97.6905747
130,Toulouse Cafe and Bar,78758,4.0,30.40283,-97.72161
131,Cyclone Anaya's Tex-Mex Cantina,78758,3.0,30.40283,-97.72161
132,Taqueria Las Chivas Jalisco,78753,3.5,30.377566,-97.708694
133,Side Pocket Billiards,78753,2.5,30.37593,-97.6894499
134,Boomerz,78735,3.5,30.2363456598715,-97.8561775190617
135,The Detour,78735,3.0,30.2335573,-97.8661206
136,Chuy's,78749,3.5,30.217729,-97.841512
137,Austin Pizza Garden,78735,3.5,30.2357725,-97.8590558
138,Happy Trails,78749,5.0,30.22135,-97.83949
139,Flores Mexican Restaurant,78749,3.0,30.2230527605093,-97.8428162365291
140,The Mansion,78724,1.0,30.325682,-97.657669
141,Dive Bar and Lounge,78701,4.5,30.2798841,-97.7421312
142,Firehouse Lounge,78701,4.5,30.268173,-97.741043
143,Edge Rooftop Pool Bar,78701,5.0,30.2643864129296,-97.7436428743045
144,The Roosevelt Room,78701,4.5,30.2677,-97.74627
145,She's Not Here,78701,4.0,30.2656463300085,-97.7483603730798
146,Nickle City,78702,4.0,30.26856,-97.7281
147,The Good Life Bar Bar,78701,4.5,30.2665700053185,-97.7415906351087
148,HandleBar,78701,4.0,30.26661,-97.74204
149,Mugshots,78701,4.5,30.2676,-97.73849
150,The Wheel,78702,4.5,30.280246473018,-97.7208685643035
151,The Cloak Room,78701,3.5,30.2756075728875,-97.7420997619629
152,The Jackalope,78701,4.0,30.26732,-97.73892
153,Midnight Cowboy,78701,4.0,30.266983,-97.740028
154,Attabar,78702,4.5,30.26429,-97.7292
155,Cheer Up Charlie's,78701,4.0,30.2696098,-97.7363583
156,Azul Rooftop Pool Bar + Lounge,78701,4.5,30.266635,-97.740319
157,Mort Subite,78701,4.5,30.265719,-97.7439904
158,Small Victory,78701,4.5,30.2689112,-97.7416833
159,Garage,78701,4.0,30.2676758046831,-97.7440973042297
160,Hole in the Wall,78705,4.0,30.29005,-97.74161
161,Dive Bar and Lounge,78701,4.5,30.2798841,-97.7421312
162,Firehouse Lounge,78701,4.5,30.268173,-97.741043
163,Nickle City,78702,4.0,30.26856,-97.7281
164,The Roosevelt Room,78701,4.5,30.2677,-97.74627
165,The Wheel,78702,4.5,30.280246473018,-97.7208685643035
166,Hole in the Wall,78705,4.0,30.29005,-97.74161
167,The Butterfly Bar,78722,4.0,30.28442,-97.71744
168,Techo Mezcaleria & Agave Bar,78722,4.5,30.28412,-97.7189099
169,Crown and Anchor Pub,78705,4.0,30.2924600026945,-97.7357137160887
170,Full Circle Bar,78702,4.5,30.27392,-97.72037
171,Mugshots,78701,4.5,30.2676,-97.73849
172,Back Lot,78705,5.0,30.30189,-97.73936
173,Cactus Cafe,78713,4.5,30.2861233893208,-97.7410697937012
174,The Jackalope,78701,4.0,30.26732,-97.73892
175,The Drag Bar,78705,3.5,30.28708,-97.74186
176,Midnight Cowboy,78701,4.0,30.266983,-97.740028
177,The Cloak Room,78701,3.5,30.2756075728875,-97.7420997619629
178,Cheer Up Charlie's,78701,4.0,30.2696098,-97.7363583
179,Hopfields,78705,4.0,30.2985538576336,-97.7409893637848
180,Growler USA - Austin,78705,4.5,30.2955795,-97.7434722
181,Dive Bar and Lounge,78701,4.5,30.2798841,-97.7421312
182,Firehouse Lounge,78701,4.5,30.268173,-97.741043
183,The Roosevelt Room,78701,4.5,30.2677,-97.74627
184,Edge Rooftop Pool Bar,78701,5.0,30.2643864129296,-97.7436428743045
185,She's Not Here,78701,4.0,30.2656463300085,-97.7483603730798
186,The Good Life Bar Bar,78701,4.5,30.2665700053185,-97.7415906351087
187,Nickle City,78702,4.0,30.26856,-97.7281
188,HandleBar,78701,4.0,30.26661,-97.74204
189,Mugshots,78701,4.5,30.2676,-97.73849
190,The Cloak Room,78701,3.5,30.2756075728875,-97.7420997619629
191,Hole in the Wall,78705,4.0,30.29005,-97.74161
192,Midnight Cowboy,78701,4.0,30.266983,-97.740028
193,The Jackalope,78701,4.0,30.26732,-97.73892
194,Attabar,78702,4.5,30.26429,-97.7292
195,Whisler's,78702,4.5,30.2619673762692,-97.7226847531614
196,Cheer Up Charlie's,78701,4.0,30.2696098,-97.7363583
197,Mort Subite,78701,4.5,30.265719,-97.7439904
198,Garage,78701,4.0,30.2676758046831,-97.7440973042297
199,Azul Rooftop Pool Bar + Lounge,78701,4.5,30.266635,-97.740319
200,Small Victory,78701,4.5,30.2689112,-97.7416833
201,The Beer Plant,78703,4.0,30.2965180811856,-97.7678042803603
202,Abel's On the Lake,78703,2.5,30.29493,-97.78381
203,Bike & Brew ATX,78702,5.0,30.25841,-97.71143
