,Club Name,Zip code,Club Rating,Club latitude,Club longitude
192,Ethics Music Lounge,78701,3.5,30.2670490323692,-97.7435471490026
193,Barbarella,78701,3.0,30.26705,-97.73676
194,Pour Choices,78701,4.0,30.2669479091807,-97.73925183345
195,Summit Rooftop Lounge,78701,4.0,30.267579,-97.743872
196,Krave Night Club,78701,2.5,30.2675762176514,-97.7400741577148
197,Suite 101,78701,2.0,30.26712,-97.74377
198,Antone's Nightclub,78701,4.0,30.2660523,-97.7403876
199,Carnaval Brasileiro,78704,4.5,30.2605439518501,-97.7528813629517
200,Barcelona,78799,3.5,30.2675569844717,-97.7409903100922
201,RIO Night Club + Day Club,78701,2.0,30.27016,-97.74921
202,Rain on 4th,78701,3.5,30.266515,-97.745681
203,Clearport,78701,3.5,30.2667080057076,-97.7375103914017
204,Highland,78701,3.5,30.2670059204102,-97.7449569702148
205,Hangar Lounge,78701,3.5,30.266504262,-97.745026801
206,Lit Lounge,78701,3.5,30.267239,-97.740929
207,Vulcan Gas Company,78701,3.5,30.267162322998,-97.7384643554688
208,Majestic Austin,78701,3.5,30.266626,-97.738701
209,Plush,78701,4.0,30.2672547410362,-97.7367449512796
210,Kingdom,78701,3.5,30.266647006443,-97.742492574117
211,Elysium,78701,4.0,30.26766,-97.73657
212,Ethics Music Lounge,78701,3.5,30.2670490323692,-97.7435471490026
213,Barbarella,78701,3.0,30.26705,-97.73676
214,Pour Choices,78701,4.0,30.2669479091807,-97.73925183345
215,Summit Rooftop Lounge,78701,4.0,30.267579,-97.743872
216,Krave Night Club,78701,2.5,30.2675762176514,-97.7400741577148
217,Suite 101,78701,2.0,30.26712,-97.74377
218,Antone's Nightclub,78701,4.0,30.2660523,-97.7403876
219,Carnaval Brasileiro,78704,4.5,30.2605439518501,-97.7528813629517
220,Barcelona,78799,3.5,30.2675569844717,-97.7409903100922
221,RIO Night Club + Day Club,78701,2.0,30.27016,-97.74921
222,Rain on 4th,78701,3.5,30.266515,-97.745681
223,Clearport,78701,3.5,30.2667080057076,-97.7375103914017
224,Highland,78701,3.5,30.2670059204102,-97.7449569702148
225,Hangar Lounge,78701,3.5,30.266504262,-97.745026801
226,Lit Lounge,78701,3.5,30.267239,-97.740929
227,Vulcan Gas Company,78701,3.5,30.267162322998,-97.7384643554688
228,Majestic Austin,78701,3.5,30.266626,-97.738701
229,Midtown Live Sports Cafe,78752,3.0,30.3292980194092,-97.6904373168945
230,Plush,78701,4.0,30.2672547410362,-97.7367449512796
231,Kingdom,78701,3.5,30.266647006443,-97.742492574117
232,Elysium,78701,4.0,30.26766,-97.73657
233,Ethics Music Lounge,78701,3.5,30.2670490323692,-97.7435471490026
234,Barbarella,78701,3.0,30.26705,-97.73676
235,Pour Choices,78701,4.0,30.2669479091807,-97.73925183345
236,Summit Rooftop Lounge,78701,4.0,30.267579,-97.743872
237,Krave Night Club,78701,2.5,30.2675762176514,-97.7400741577148
238,RIO Night Club + Day Club,78701,2.0,30.27016,-97.74921
239,Suite 101,78701,2.0,30.26712,-97.74377
240,Antone's Nightclub,78701,4.0,30.2660523,-97.7403876
241,Barcelona,78799,3.5,30.2675569844717,-97.7409903100922
242,Rain on 4th,78701,3.5,30.266515,-97.745681
243,Highland,78701,3.5,30.2670059204102,-97.7449569702148
244,Clearport,78701,3.5,30.2667080057076,-97.7375103914017
245,Austin Swing Syndicate,78705,5.0,30.28783,-97.7482
246,Hangar Lounge,78701,3.5,30.266504262,-97.745026801
247,Lit Lounge,78701,3.5,30.267239,-97.740929
248,Vulcan Gas Company,78701,3.5,30.267162322998,-97.7384643554688
249,Majestic Austin,78701,3.5,30.266626,-97.738701
250,Plush,78701,4.0,30.2672547410362,-97.7367449512796
251,Kingdom,78701,3.5,30.266647006443,-97.742492574117
252,Elysium,78701,4.0,30.26766,-97.73657
253,Ethics Music Lounge,78701,3.5,30.2670490323692,-97.7435471490026
254,Barbarella,78701,3.0,30.26705,-97.73676
255,Pour Choices,78701,4.0,30.2669479091807,-97.73925183345
256,Summit Rooftop Lounge,78701,4.0,30.267579,-97.743872
257,Krave Night Club,78701,2.5,30.2675762176514,-97.7400741577148
258,Suite 101,78701,2.0,30.26712,-97.74377
259,RIO Night Club + Day Club,78701,2.0,30.27016,-97.74921
260,Antone's Nightclub,78701,4.0,30.2660523,-97.7403876
261,Barcelona,78799,3.5,30.2675569844717,-97.7409903100922
262,Carnaval Brasileiro,78704,4.5,30.2605439518501,-97.7528813629517
263,Rain on 4th,78701,3.5,30.266515,-97.745681
264,Highland,78701,3.5,30.2670059204102,-97.7449569702148
265,Clearport,78701,3.5,30.2667080057076,-97.7375103914017
266,Hangar Lounge,78701,3.5,30.266504262,-97.745026801
267,Austin Swing Syndicate,78705,5.0,30.28783,-97.7482
268,Lit Lounge,78701,3.5,30.267239,-97.740929
269,Vulcan Gas Company,78701,3.5,30.267162322998,-97.7384643554688
270,Austin Swing Syndicate,78705,5.0,30.28783,-97.7482
271,Austin Swing Syndicate,78705,5.0,30.28783,-97.7482
272,Plush,78701,4.0,30.2672547410362,-97.7367449512796
273,Kingdom,78701,3.5,30.266647006443,-97.742492574117
274,Elysium,78701,4.0,30.26766,-97.73657
275,Ethics Music Lounge,78701,3.5,30.2670490323692,-97.7435471490026
276,Barbarella,78701,3.0,30.26705,-97.73676
277,Pour Choices,78701,4.0,30.2669479091807,-97.73925183345
278,Summit Rooftop Lounge,78701,4.0,30.267579,-97.743872
279,Krave Night Club,78701,2.5,30.2675762176514,-97.7400741577148
280,Suite 101,78701,2.0,30.26712,-97.74377
281,Antone's Nightclub,78701,4.0,30.2660523,-97.7403876
282,Carnaval Brasileiro,78704,4.5,30.2605439518501,-97.7528813629517
283,Barcelona,78799,3.5,30.2675569844717,-97.7409903100922
284,RIO Night Club + Day Club,78701,2.0,30.27016,-97.74921
285,Rain on 4th,78701,3.5,30.266515,-97.745681
286,Clearport,78701,3.5,30.2667080057076,-97.7375103914017
287,Highland,78701,3.5,30.2670059204102,-97.7449569702148
288,Hangar Lounge,78701,3.5,30.266504262,-97.745026801
289,Lit Lounge,78701,3.5,30.267239,-97.740929
290,Vulcan Gas Company,78701,3.5,30.267162322998,-97.7384643554688
291,Majestic Austin,78701,3.5,30.266626,-97.738701
292,Austin Swing Syndicate,78705,5.0,30.28783,-97.7482
293,Austin Swing Syndicate,78705,5.0,30.28783,-97.7482
294,Skylark Lounge,78722,4.5,30.2846205,-97.70491
295,Dozen Street,78702,4.5,30.2738603,-97.7203803
296,The Eastern,78702,4.0,30.26287,-97.72682
297,The White Horse,78702,4.0,30.262545,-97.727024
298,Volstead Lounge,78702,3.5,30.2581775581538,-97.7148056030273
299,Austin Swing Syndicate,78705,5.0,30.28783,-97.7482
300,Austin Swing Syndicate,78705,5.0,30.28783,-97.7482
301,Austin Swing Syndicate,78705,5.0,30.28783,-97.7482
