,Name,Zip code,latitude,longitude
164,La Perla,78702,30.2633686065674,-97.7266006469727
165,Zilker Brewing Company and Taproom,78702,30.262096,-97.72454
166,Banger's Sausage House & Beer Garden,78701,30.2590157575754,-97.7385085889549
167,Pour House Pints And Pies,78759,30.4228443049482,-97.7553981431361
168,Weather Up,78702,30.2573650267811,-97.7249485249197
169,Cosmic Coffee + Beer Garden,78704,30.2274,-97.76272
170,Kicked Up Grub,78704,30.2407,-97.78598
171,Moontower Saloon,78748,30.1693172454834,-97.8266754150391
172,Soco Bar & Bites,78704,30.25849,-97.74729
173,Hi Hat Public House,78702,30.26023,-97.71893
174,L'estelle House,78701,30.2599341625746,-97.7384599763706
175,St Elmo Brewing Company,78745,30.2174492910035,-97.7610477949677
176,Pitchfork Pretty,78702,30.25343,-97.71351
177,Turntable Eatery,78751,30.31281,-97.7150599
178,Buckshot,78701,30.26714,-97.73833
179,Black Star Co-op Pub & Brewery,78752,30.3381716531677,-97.7188450098038
180,Roscoe's Bar,78705,30.2886981964111,-97.748176574707
181,Love Goat,78705,30.29283,-97.7417399
182,Forthright,78701,30.2623732844951,-97.743445
183,Barley Swine,78757,30.3412737661652,-97.7383886364151
184,Beachside Billys,78641,30.440785,-97.914837
185,Mister Tramps Sports Pub and Café,78758,30.3614513838757,-97.7162416375759
186,Javelina,78701,30.258020401001,-97.7388458251953
187,Gourmands Neighborhood Pub,78702,30.26265,-97.71539
188,The Alibi,78701,30.26083,-97.73825
189,Ego's,78704,30.25628,-97.74761
190,Two Bucks,78701,30.2664604187012,-97.7381134033203
191,Buford's Backyard Beer Garden,78701,30.2702396,-97.7497159
192,Billy's on Burnet,78756,30.3220291137695,-97.7397613525391
193,Yard House,78758,30.4053,-97.72308
194,Spider House Ballroom,78705,30.2953743,-97.7420442
195,Vino Vino,78751,30.3069966,-97.7352997
196,The Drag Bar,78705,30.28708,-97.74186
197,Rosewood,78702,30.26835,-97.72626
198,Mohawk,78701,30.2701302,-97.7359046
199,The Dogwood,78701,30.26988,-97.75028
200,Better Half Coffee & Cocktails,78703,30.27137,-97.75839
201,The Vortex,78722,30.2844663602444,-97.7175722159386
202,Lustre Pearl,78701,30.2606455716823,-97.7382776743979
203,Boulevard Grill and Sports Bar,78731,30.355045,-97.755592
204,Lenoir,78704,30.24686,-97.75586
205,BD Riley's Irish Pub at Mueller,78723,30.2982552810187,-97.7049514541841
206,Boomerz,78735,30.2363456598715,-97.8561775190617
207,Perla's,78704,30.2499652289007,-97.7499698671015
208,Guild,78756,30.3060027879118,-97.7431749925017
209,Ernie's Dockside Lake Travis,78734,30.43169,-97.94077
210,San Jac Saloon,78701,30.2675819396973,-97.7401580810547
211,Texas Club Bar & Grill,78744,30.2119300039385,-97.7296185185185
212,Cactus Cafe,78713,30.2861233893208,-97.7410697937012
213,Wright Bros Brew & Brew,78702,30.2642705386769,-97.7330322191119
214,Central Standard,78704,30.2474,-97.75006
215,Kick Butt Café,78752,30.3221788205653,-97.7138607718277
216,Geraldine's,78701,30.26029,-97.73927
217,Mattie's,78704,30.244963,-97.762289
218,Unbarlievable,78701,30.25891,-97.73896
219,Las Palomas Restaurant & Bar,78746,30.271881,-97.800071
220,Sahara Lounge,78721,30.2795716,-97.68159
221,La Holly,78702,30.2591865899542,-97.7144455556234
222,Texas Sake,78751,30.32317,-97.72758
223,Cover 3,78703,30.2761773651651,-97.7656084588242
224,Thirsty Turtle,78753,30.42419,-97.66973
225,Rules & Regs,78701,30.26198,-97.73862
226,The Brass Tap,78758,30.3955359,-97.7270049
227,Stephen F's Bar & Terrace,78701,30.2691040039062,-97.7419586181641
228,Barrel O' Fun,78723,30.2981137997144,-97.7049248933204
229,Scoot Inn,78702,30.2621159638853,-97.7294136738124
230,'Bout Time II,78752,30.32777,-97.70421
231,Cain and Abel's,78705,30.28768,-97.74448
232,Black Sheep Lodge,78704,30.24837,-97.77118
233,Moloko,78702,30.2738,-97.7201
234,Spokesman,78745,30.2164715,-97.7618791
235,Toss Pizzeria & Pub,78704,30.2363363,-97.762862
236,Marshall's Tavern,78729,30.443876,-97.775756
237,Tellers,78701,30.26762,-97.73889
238,Russian House,78701,30.26603,-97.74023
239,Swift's Attic,78701,30.26563,-97.74337
240,Oasis Texas Brewing Company,78732,30.40615,-97.87492
241,Spider House Cafe & Ballroom,78705,30.295505,-97.741761
242,Auguste & Marcel,78704,30.24653,-97.75109
243,El Chipirón,78704,30.2432095786234,-97.7811677724685
244,Detour,78758,30.39442,-97.72019
245,Parlor Room,78701,30.2596676325079,-97.7386219853414
246,Salty Sow,78722,30.2836497259461,-97.7213180065155
247,Happy Chicks,78701,30.267617,-97.740781
248,Vaquero's Cafe and Cantina,78746,30.27087,-97.81717
249,Culinary Dropout,78758,30.403653,-97.721503
250,Jack & Gingers,78758,30.4011283513491,-97.7228807096988
251,Wilder Wood Restaurant & Bar,78702,30.26517,-97.72859
252,The 04 Lounge,78704,30.2257133520068,-97.762843803094
253,The Ginger Man,78701,30.2672824859619,-97.7462768554688
254,BaseCamp,78701,30.267578125,-97.7438735961914
255,Pool Burger,78703,30.2778,-97.7725899
256,Parmer Lane Tavern,78727,30.4154010136868,-97.6964487108368
257,Backspin Texas Sports Bar & Grill,78737,30.200723958811,-97.8645905479789
258,The Local Pub and Patio,78705,30.2915658,-97.7414793
259,Gourdough's Public House,78704,30.245382,-97.780437
260,The Continental Club Gallery,78704,30.25059,-97.7490399
261,Li'l Nonna's,78741,30.2416820526123,-97.7268676757812
262,Cover 3,78757,30.3586849562721,-97.7350158670119
263,Warehouse Billiard Bar,78704,30.2185592651367,-97.757682800293
264,Mezcalería Tobalá,78702,30.2620067596436,-97.7225952148438
265,Sophia's,78701,30.26955,-97.74751
266,Austin Taco Project,78701,30.26506,-97.73862
267,Holy Roller,78701,30.26948,-97.74943
268,Kung Fu Saloon,78701,30.2703265,-97.7502847
269,W XYZ Bar,78758,30.4028119241257,-97.7237724701505
270,Scholz Garten,78701,30.2773110437902,-97.7365262639869
271,Texas Reds and Whites Tasting Room,78701,30.26487,-97.73762
272,The Library Bar,78701,30.2667407989502,-97.7390823364258
273,The Rooftop Bar,78701,30.26678,-97.73917
274,Tacos and Tequila,78703,30.2727939974674,-97.7606394828728
