,RecordNumber,Zipcode,ZipCodeType,City,State,Lat,Long,Country,Location,Decommisioned,EstimatedPopulation
62860,62861,78757,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,16774.0
62861,62862,78758,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,30239.0
62862,62863,78759,STANDARD,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,32533.0
62864,62865,78760,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,761.0
62865,62866,78761,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,797.0
62866,62867,78762,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62867,62868,78763,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,572.0
62868,62869,78764,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62869,62870,78765,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,524.0
62870,62871,78766,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,621.0
62871,62872,78767,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,654.0
62872,62873,78768,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,667.0
62873,62874,78769,PO BOX,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62874,62875,78772,UNIQUE,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62876,62877,78773,UNIQUE,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62878,62879,78774,UNIQUE,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62880,62881,78778,UNIQUE,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62882,62883,78779,UNIQUE,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62884,62885,78780,UNIQUE,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62886,62887,78781,UNIQUE,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62888,62889,78783,UNIQUE,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62890,62891,78785,UNIQUE,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62892,62893,78789,UNIQUE,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,False,
62894,62895,78799,STANDARD,AUSTIN,TX,30.27,-97.74,US,NA-US-TX-AUSTIN,False,
81373,81379,78786,UNIQUE,AUSTIN,TX,30.35,-97.65,US,NA-US-TX-AUSTIN,True,
81374,81380,78788,UNIQUE,AUSTIN,TX,30.26,-97.74,US,NA-US-TX-AUSTIN,True,
81376,81382,78798,STANDARD,AUSTIN,TX,30.37,-97.68,US,NA-US-TX-AUSTIN,True,
